id,name,team,position,price,start_prob,goal_share,assist_share,saves_p90,yellow_p90,ownership,pen_taker,avg_points,total_points
1143,Nico Elvedi,Switzerland,DEF,4.3,0.9,0.0127,0.0208,0.0,0.15,0.021,0,0,0
1144,Silvan Widmer,Switzerland,DEF,4.2,0.9,0.0127,0.0208,0.0,0.15,0.008,0,0,0
1145,Miro Muheim,Switzerland,DEF,4.0,0.45,0.0127,0.0208,0.0,0.15,0.003,0,0,0
1146,Eray Cömert,Switzerland,DEF,3.9,0.12,0.0127,0.0208,0.0,0.15,0.0,0,0,0
1147,Aurèle Amenda,Switzerland,DEF,3.7,0.12,0.0127,0.0208,0.0,0.15,0.0,0,0,0
1148,Luca Jaquez,Switzerland,DEF,3.5,0.45,0.0127,0.0208,0.0,0.15,0.001,0,0,0
1149,Breel Embolo,Switzerland,FWD,7.5,0.9,0.0951,0.0417,0.0,0.15,0.023,0,0,0
1151,Dan Ndoye,Switzerland,FWD,6.8,0.45,0.0951,0.0417,0.0,0.15,0.006,0,0,0
1150,Noah Okafor,Switzerland,FWD,5.9,0.9,0.0951,0.0417,0.0,0.15,0.006,0,0,0
1583,Cedric Itten,Switzerland,FWD,5.4,0.12,0.0951,0.0417,0.0,0.15,0.0,0,0,0
1582,Zeki Amdouni,Switzerland,FWD,4.9,0.45,0.0951,0.0417,0.0,0.15,0.001,0,0,0
1153,Gregor Kobel,Switzerland,GK,4.7,0.9,0.0,0.0,3.0,0.08,0.067,0,0,0
1154,Yvon Mvogo,Switzerland,GK,4.2,0.45,0.0,0.0,3.0,0.08,0.001,0,0,0
1155,Marvin Keller,Switzerland,GK,3.7,0.45,0.0,0.0,3.0,0.08,0.002,0,0,0
1158,Rubén Vargas,Switzerland,MID,6.8,0.9,0.0423,0.0625,0.0,0.15,0.005,0,0,0
1140,Fabian Rieder,Switzerland,MID,6.2,0.9,0.0423,0.0625,0.0,0.15,0.001,0,0,0
1135,Granit Xhaka,Switzerland,MID,6.2,0.9,0.0423,0.0625,0.0,0.15,0.051,0,0,0
1156,Djibril Sow,Switzerland,MID,6.1,0.12,0.0423,0.0625,0.0,0.15,0.0,0,0,0
1157,Denis Zakaria,Switzerland,MID,6.1,0.45,0.0423,0.0625,0.0,0.15,0.001,0,0,0
1581,Christian Fassnacht,Switzerland,MID,6.1,0.12,0.0423,0.0625,0.0,0.15,0.0,0,0,0
